go_term,bg_count,top_count,p_value,q_value
mossy fiber rosette,3,1,0.01811071689999625,0.05080488724062199
cardiac fibroblast cell development,3,1,0.01811071689999625,0.05080488724062199
sensory perception of hot stimulus,3,1,0.01811071689999625,0.05080488724062199
platelet-derived growth factor alpha-receptor activity,3,1,0.01811071689999625,0.05080488724062199
positive regulation of cell communication by electrical coupling involved in cardiac conduction,3,1,0.01811071689999625,0.05080488724062199
cell fate commitment involved in formation of primary germ layer,3,1,0.01811071689999625,0.05080488724062199
negative regulation of phenotypic switching,3,1,0.01811071689999625,0.05080488724062199
brahma complex,34,2,0.018179140650634983,0.05080488724062199
positive regulation of ATP biosynthetic process,34,2,0.018179140650634983,0.05080488724062199
negative regulation of vascular permeability,34,2,0.018179140650634983,0.05080488724062199
regulation of Rab protein signal transduction,34,2,0.018179140650634983,0.05080488724062199
VCP-NPL4-UFD1 AAA ATPase complex,34,2,0.018179140650634983,0.05080488724062199
negative regulation of glial cell proliferation,34,2,0.018179140650634983,0.05080488724062199
response to aldosterone,34,2,0.018179140650634983,0.05080488724062199
viral protein processing,34,2,0.018179140650634983,0.05080488724062199
ubiquitin-like protein transferase activity,34,2,0.018179140650634983,0.05080488724062199
positive regulation of cell cycle G1/S phase transition,34,2,0.018179140650634983,0.05080488724062199
